 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2012- 7- 3  0: 0: 0,     0.000,     0.036,     0.036,     0.020,    69.149,     0.542,     0.002,     0.973,     0.000,     0.000,    24.689,    11.267
2012- 7- 3  1: 0: 0,     0.036,     0.036,     0.036,     0.022,    69.155,     0.542,     0.002,     0.956,     0.000,     0.007,    24.343,    10.833
2012- 7- 3  2: 0: 0,     0.107,     0.036,     0.036,     0.023,    69.213,     0.543,     0.001,     0.943,     0.000,     0.025,    23.985,    10.400
2012- 7- 3  3: 0: 0,     0.068,     0.204,     0.204,     0.110,    69.144,     0.542,     0.001,     0.926,     0.000,     0.008,    23.634,    10.400
2012- 7- 3  4: 0: 0,     0.320,     0.204,     0.204,     0.123,    69.258,     0.543,     0.001,     0.925,     0.001,     0.073,    23.299,    10.400
2012- 7- 3  5: 0: 0,     0.142,     0.204,     0.204,     0.113,    69.240,     0.543,     0.001,     0.913,     0.000,     0.024,    22.985,    10.400
2012- 7- 3  6: 0: 0,     0.072,     0.545,     0.545,     0.266,    68.984,     0.541,     0.001,     0.895,     0.000,     0.001,    22.694,    10.400
2012- 7- 3  7: 0: 0,     0.004,     0.545,     0.545,     0.293,    68.691,     0.539,     0.001,     0.877,     0.000,     0.000,    22.423,    10.400
2012- 7- 3  8: 0: 0,     0.026,     0.545,     0.545,     0.279,    68.412,     0.536,     0.001,     0.859,     0.000,     0.000,    22.188,    10.400
2012- 7- 3  9: 0: 0,     0.003,     0.291,     0.291,     0.155,    68.257,     0.535,     0.001,     0.842,     0.000,     0.000,    21.971,    10.073
2012- 7- 3 10: 0: 0,     0.007,     0.291,     0.291,     0.152,    68.105,     0.534,     0.000,     0.824,     0.000,     0.000,    21.757,     9.747
2012- 7- 3 11: 0: 0,     0.003,     0.291,     0.291,     0.154,    67.951,     0.533,     0.000,     0.807,     0.000,     0.000,    21.545,     9.420
2012- 7- 3 12: 0: 0,     0.040,     0.073,     0.073,     0.036,    67.934,     0.533,     0.000,     0.790,     0.000,     0.002,    21.336,     9.093
2012- 7- 3 13: 0: 0,     0.818,     0.073,     0.073,     0.061,    68.488,     0.537,     0.002,     0.821,     0.003,     0.191,    21.252,     8.767
2012- 7- 3 14: 0: 0,     0.210,     0.073,     0.073,     0.055,    68.588,     0.538,     0.002,     0.815,     0.001,     0.042,    21.210,     8.440
2012- 7- 3 15: 0: 0,     0.140,     0.005,     0.005,     0.004,    68.687,     0.538,     0.002,     0.807,     0.000,     0.037,    21.193,     8.440
2012- 7- 3 16: 0: 0,     0.083,     0.005,     0.005,     0.004,    68.743,     0.539,     0.002,     0.796,     0.000,     0.022,    21.185,     8.440
2012- 7- 3 17: 0: 0,     0.097,     0.005,     0.005,     0.004,    68.813,     0.539,     0.002,     0.785,     0.000,     0.023,    21.151,     8.440
2012- 7- 3 18: 0: 0,     0.211,     0.002,     0.002,     0.002,    68.968,     0.541,     0.002,     0.782,     0.001,     0.053,    21.078,     8.440
2012- 7- 3 19: 0: 0,     0.031,     0.002,     0.002,     0.002,    68.989,     0.541,     0.002,     0.767,     0.000,     0.008,    20.963,     8.440
2012- 7- 3 20: 0: 0,     0.000,     0.002,     0.002,     0.001,    68.988,     0.541,     0.001,     0.751,     0.000,     0.000,    20.776,     8.440
2012- 7- 3 21: 0: 0,     0.001,     0.000,     0.000,     0.000,    68.988,     0.541,     0.001,     0.734,     0.000,     0.000,    20.541,     9.808
2012- 7- 3 22: 0: 0,     0.000,     0.000,     0.000,     0.000,    68.988,     0.541,     0.001,     0.718,     0.000,     0.000,    20.280,    11.177
2012- 7- 3 23: 0: 0,     0.013,     0.000,     0.000,     0.000,    68.998,     0.541,     0.001,     0.703,     0.000,     0.004,    20.050,    12.545
2012- 7- 4  0: 0: 0,     2.839,     0.011,     0.011,     0.011,    71.038,     0.557,     0.041,     0.867,     0.068,     0.720,    26.587,    13.913
2012- 7- 4  1: 0: 0,     1.613,     0.011,     0.011,     0.011,    72.166,     0.566,     0.045,     0.963,     0.020,     0.454,    27.330,    47.600
2012- 7- 4  2: 0: 0,     1.038,     0.011,     0.011,     0.010,    72.898,     0.572,     0.041,     1.017,     0.003,     0.292,    28.382,    80.075
2012- 7- 4  3: 0: 0,     3.560,     0.136,     0.136,     0.136,    75.326,     0.591,     0.108,     1.215,     0.123,     0.872,    28.468,   158.000
2012- 7- 4  4: 0: 0,     8.432,     0.136,     0.136,     0.136,    81.042,     0.635,     0.598,     1.634,     0.826,     1.755,    29.738,   164.000
2012- 7- 4  5: 0: 0,    20.950,     0.136,     0.136,     0.136,    93.837,     0.735,     3.973,     2.208,     5.636,     2.383,   152.546,   201.500
2012- 7- 4  6: 0: 0,    20.941,     0.032,     0.032,     0.032,   104.770,     0.820,     8.092,     2.864,     7.255,     2.720,   225.218,   382.571
2012- 7- 4  7: 0: 0,    12.651,     0.032,     0.032,     0.032,   110.326,     0.863,    10.212,     3.566,     4.140,     2.923,   316.117,   588.500
2012- 7- 4  8: 0: 0,     6.267,     0.032,     0.032,     0.032,   112.733,     0.881,    10.342,     4.216,     1.087,     2.740,   370.672,   646.000
2012- 7- 4  9: 0: 0,     3.675,     0.026,     0.026,     0.026,   114.083,     0.891,     9.937,     4.664,     0.341,     1.958,   485.644,   755.800
2012- 7- 4 10: 0: 0,     3.071,     0.026,     0.026,     0.026,   115.139,     0.899,     9.361,     5.015,     0.397,     1.592,   671.225,   879.750
2012- 7- 4 11: 0: 0,     2.863,     0.026,     0.026,     0.026,   116.128,     0.907,     8.323,     5.377,     0.187,     1.661,   820.229,   891.000
2012- 7- 4 12: 0: 0,     1.921,     0.025,     0.025,     0.025,   116.791,     0.912,     6.945,     5.608,     0.066,     1.167,   875.796,   948.800
2012- 7- 4 13: 0: 0,     2.044,     0.025,     0.025,     0.025,   117.449,     0.917,     5.449,     5.877,     0.028,     1.333,   828.758,   959.000
2012- 7- 4 14: 0: 0,     2.438,     0.025,     0.025,     0.025,   118.128,     0.922,     4.152,     6.193,     0.200,     1.534,   713.677,   891.000
2012- 7- 4 15: 0: 0,     1.660,     0.001,     0.001,     0.001,   118.590,     0.925,     2.999,     6.407,     0.072,     1.126,   571.540,   789.000
